时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
09:52:49,B,正股大跌转债抗跌,127034,绿茵转债,127.03,-0.79%,-3.29%,27.60%,0.4,正股大跌-3.3% 转债仅-0.8% 抗跌
09:55:11,B,正股大跌转债抗跌,110084,贵燃转债,129.30,-0.61%,-3.04%,20.00%,0.5,正股大跌-3.0% 转债仅-0.6% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.9%)
09:56:28,B,正股大跌转债抗跌,128127,文科转债,114.31,-0.19%,-4.38%,14.02%,2.2,正股大跌-4.4% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.3%)
09:56:38,B,放量拉升,111001,山玻转债,207.01,+4.39%,-3.38%,2.36%,0.8,"放量4.2x (均量926手/轮, 峰值3899手) 成交额11.39亿 ⚠️强赎"
09:56:51,B,超跌修复,127055,精装转债,245.04,-4.28%,-1.93%,23.69%,0.1,转债超跌-4.3% vs 正股-1.9% 偏离2.4% 修复空间大
09:57:48,B,股价大涨转债滞涨,113658,密卫转债,143.79,+0.99%,+3.95%,25.53%,0.8,正股大涨+4.0% 转债仅+1.0% 偏离3.0%
09:59:54,B,正股大跌转债抗跌,127080,声迅转债,290.80,-0.78%,-3.24%,25.80%,0.4,正股大跌-3.2% 转债仅-0.8% 抗跌
10:00:13,B,正股大跌转债抗跌,110084,贵燃转债,129.19,-0.70%,-3.55%,20.53%,0.7,正股大跌-3.5% 转债仅-0.7% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.9%)
10:01:29,B,正股大跌转债抗跌,128127,文科转债,114.26,-0.23%,-4.87%,14.56%,2.9,正股大跌-4.9% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.0%)
10:01:34,B,股价大涨转债滞涨,123183,海顺转债,139.26,+0.95%,+4.14%,17.19%,1.0,正股大涨+4.1% 转债仅+0.9% 偏离3.2%
10:01:43,B,放量拉升,111001,山玻转债,204.50,+3.12%,-4.57%,2.39%,0.0,"放量2.5x (均量588手/轮, 峰值1495手) 成交额12.36亿 ⚠️强赎"
10:01:52,B,超跌修复,127055,精装转债,243.27,-4.97%,-2.30%,23.27%,0.4,转债超跌-5.0% vs 正股-2.3% 偏离2.7% 修复空间大
10:02:48,B,股价大涨转债滞涨,113658,密卫转债,143.56,+0.83%,+3.28%,26.14%,0.4,正股大涨+3.3% 转债仅+0.8% 偏离2.4%
10:05:16,B,正股大跌转债抗跌,110084,贵燃转债,129.20,-0.69%,-4.31%,21.50%,1.4,正股大跌-4.3% 转债仅-0.7% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.6%)
10:05:44,B,正股大跌转债抗跌,123251,华医转债,300.50,-0.83%,-3.01%,3.82%,0.2,正股大跌-3.0% 转债仅-0.8% 抗跌
10:06:31,B,正股大跌转债抗跌,128127,文科转债,114.30,-0.20%,-4.62%,14.30%,2.5,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:06:36,B,股价大涨转债滞涨,123183,海顺转债,139.20,+0.91%,+3.99%,17.31%,0.9,正股大涨+4.0% 转债仅+0.9% 偏离3.1%
10:06:46,B,放量拉升,111001,山玻转债,202.55,+2.14%,-4.96%,1.82%,0.2,"放量3.5x (均量467手/轮, 峰值1616手) 成交额13.17亿 ⚠️强赎"
10:07:42,B,正股大跌转债抗跌,127080,声迅转债,290.19,-0.99%,-3.20%,25.47%,0.3,正股大跌-3.2% 转债仅-1.0% 抗跌
10:07:52,B,股价大涨转债滞涨,113658,密卫转债,143.40,+0.71%,+3.10%,26.21%,0.4,正股大涨+3.1% 转债仅+0.7% 偏离2.4%
10:10:21,B,正股大跌转债抗跌,110084,贵燃转债,129.11,-0.76%,-4.82%,22.06%,2.0,正股大跌-4.8% 转债仅-0.8% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.3%)
10:11:35,B,正股大跌转债抗跌,128127,文科转债,114.25,-0.24%,-4.62%,14.25%,2.4,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:11:40,B,股价大涨转债滞涨,123183,海顺转债,139.13,+0.86%,+3.54%,17.76%,0.6,正股大涨+3.5% 转债仅+0.9% 偏离2.7%
10:11:49,B,放量拉升,111001,山玻转债,203.71,+2.73%,-4.44%,1.86%,0.9,"放量4.4x (均量401手/轮, 峰值1749手) 成交额13.77亿 ⚠️强赎"
10:12:55,B,股价大涨转债滞涨,113658,密卫转债,143.46,+0.76%,+3.40%,25.91%,0.5,正股大涨+3.4% 转债仅+0.8% 偏离2.6%
10:13:51,B,正股大跌转债抗跌,127037,银轮转债,697.25,+0.56%,-3.00%,40.00%,1.2,正股大跌-3.0% 转债仅0.6% 抗跌
10:16:39,B,正股大跌转债抗跌,128127,文科转债,114.27,-0.22%,-4.87%,14.57%,2.9,正股大跌-4.9% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.0%)
10:16:53,B,放量拉升,111001,山玻转债,203.53,+2.63%,-5.34%,2.73%,0.0,"放量2.7x (均量227手/轮, 峰值610手) 成交额14.27亿 ⚠️强赎"
10:17:07,B,股价大涨转债滞涨,123183,海顺转债,139.32,+0.99%,+3.32%,18.18%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:18:12,B,超跌修复,127092,运机转债,279.84,-1.29%,+0.77%,20.86%,0.0,转债超跌-1.3% vs 正股+0.8% 偏离2.1% 修复空间大
10:18:39,B,正股大跌转债抗跌,123251,华医转债,300.40,-0.86%,-3.00%,3.77%,0.2,正股大跌-3.0% 转债仅-0.9% 抗跌
10:18:53,B,正股大跌转债抗跌,127037,银轮转债,688.49,-0.71%,-4.55%,40.49%,1.4,正股大跌-4.5% 转债仅-0.7% 抗跌
10:20:03,B,超跌修复,127055,精装转债,240.57,-6.03%,-2.92%,22.67%,1.1,转债超跌-6.0% vs 正股-2.9% 偏离3.1% 修复空间大
10:21:42,B,正股大跌转债抗跌,128127,文科转债,114.29,-0.21%,-4.62%,14.29%,2.5,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:21:56,B,放量拉升,111001,山玻转债,204.45,+3.10%,-3.85%,1.59%,0.6,"放量4.0x (均量285手/轮, 峰值1151手) 成交额14.83亿 ⚠️强赎"
10:23:14,B,超跌修复,127092,运机转债,282.28,-0.43%,+1.65%,20.86%,0.0,转债超跌-0.4% vs 正股+1.6% 偏离2.1% 修复空间大
10:23:41,B,正股大跌转债抗跌,123251,华医转债,300.04,-0.98%,-3.13%,3.79%,0.2,正股大跌-3.1% 转债仅-1.0% 抗跌
10:25:05,B,超跌修复,127055,精装转债,241.73,-5.57%,-2.84%,23.16%,0.5,转债超跌-5.6% vs 正股-2.8% 偏离2.7% 修复空间大
10:26:42,B,正股大跌转债抗跌,128127,文科转债,114.31,-0.18%,-4.62%,14.31%,2.1,正股大跌-4.6% 转债仅-0.2% 抗跌
10:26:56,B,放量拉升,111001,山玻转债,203.29,+2.51%,-5.04%,2.28%,0.2,"放量3.3x (均量164手/轮, 峰值544手) 成交额15.08亿 ⚠️强赎"
10:28:15,B,超跌修复,127092,运机转债,280.20,-1.16%,+0.95%,20.80%,0.0,转债超跌-1.2% vs 正股+0.9% 偏离2.1% 修复空间大
10:28:24,B,股价大涨转债滞涨,123131,奥飞转债,274.25,+0.96%,+3.27%,26.50%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:31:46,B,正股大跌转债抗跌,128127,文科转债,114.25,-0.24%,-4.62%,14.25%,2.0,正股大跌-4.6% 转债仅-0.2% 抗跌
10:32:44,B,超跌修复,127055,精装转债,241.04,-5.84%,-2.89%,22.88%,0.8,转债超跌-5.8% vs 正股-2.9% 偏离2.9% 修复空间大
10:32:49,B,放量拉升,111001,山玻转债,202.70,+2.22%,-4.96%,1.90%,0.2,"放量3.3x (均量198手/轮, 峰值649手) 成交额15.42亿 ⚠️强赎"
10:33:18,B,超跌修复,127092,运机转债,279.59,-1.38%,+0.99%,20.49%,0.2,转债超跌-1.4% vs 正股+1.0% 偏离2.4% 修复空间大
10:33:28,B,股价大涨转债滞涨,123131,奥飞转债,273.14,+0.55%,+3.27%,25.99%,0.6,正股大涨+3.3% 转债仅+0.6% 偏离2.7%
10:34:50,B,正股大跌转债抗跌,128127,文科转债,114.22,-0.27%,-5.11%,14.80%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:34:50,B,超跌修复,127055,精装转债,240.39,-6.10%,-2.92%,22.58%,1.2,转债超跌-6.1% vs 正股-2.9% 偏离3.2% 修复空间大
10:34:50,B,股价大涨转债滞涨,123131,奥飞转债,273.56,+0.70%,+3.17%,26.30%,0.4,正股大涨+3.2% 转债仅+0.7% 偏离2.5%
10:34:50,B,超跌修复,127092,运机转债,279.85,-1.28%,+0.88%,20.73%,0.0,转债超跌-1.3% vs 正股+0.9% 偏离2.2% 修复空间大
10:34:56,B,超跌修复,113615,金诚转债,750.05,-2.42%,-0.38%,20.75%,0.0,转债超跌-2.4% vs 正股-0.4% 偏离2.0% 修复空间大
10:35:21,B,放量拉升,111001,山玻转债,204.30,+3.02%,-4.32%,2.01%,0.0,"放量2.8x (均量255手/轮, 峰值706手) 成交额15.51亿 ⚠️强赎"
10:36:01,B,超跌修复,127088,赫达转债,188.99,-2.08%,-0.08%,33.76%,0.0,转债超跌-2.1% vs 正股-0.1% 偏离2.0% 修复空间大
10:36:40,B,超跌修复,127055,精装转债,239.28,-6.53%,-2.70%,21.75%,3.0,转债超跌-6.5% vs 正股-2.7% 偏离3.8% 修复空间大
10:36:40,B,正股大跌转债抗跌,128127,文科转债,114.24,-0.25%,-5.11%,14.82%,2.7,正股大跌-5.1% 转债仅-0.2% 抗跌
10:36:40,B,超跌修复,127092,运机转债,280.00,-1.23%,+1.10%,20.54%,0.1,转债超跌-1.2% vs 正股+1.1% 偏离2.3% 修复空间大
10:36:40,B,超跌修复,127088,赫达转债,188.87,-2.14%,+0.04%,33.51%,0.0,转债超跌-2.1% vs 正股+0.0% 偏离2.2% 修复空间大
10:36:40,B,超跌修复,113615,金诚转债,746.88,-2.83%,-0.68%,20.61%,0.0,转债超跌-2.8% vs 正股-0.7% 偏离2.1% 修复空间大
10:37:13,B,放量拉升,111001,山玻转债,205.56,+3.66%,-2.86%,1.10%,0.0,"放量2.7x (均量973手/轮, 峰值2642手) 成交额15.83亿 ⚠️强赎"
10:38:47,B,股价大涨转债滞涨,123131,奥飞转债,274.30,+0.98%,+3.31%,26.46%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:41:43,B,超跌修复,127055,精装转债,238.02,-7.02%,-2.38%,20.70%,6.2,转债超跌-7.0% vs 正股-2.4% 偏离4.6% 修复空间大
10:41:43,B,正股大跌转债抗跌,128127,文科转债,114.22,-0.27%,-5.11%,14.80%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:41:43,B,超跌修复,127092,运机转债,278.59,-1.73%,+0.77%,20.32%,0.2,转债超跌-1.7% vs 正股+0.8% 偏离2.5% 修复空间大
10:41:43,B,超跌修复,113615,金诚转债,751.41,-2.24%,+0.26%,20.20%,0.2,转债超跌-2.2% vs 正股+0.3% 偏离2.5% 修复空间大
10:42:18,B,放量拉升,111001,山玻转债,206.30,+4.03%,-2.78%,1.38%,0.2,"放量3.5x (均量514手/轮, 峰值1790手) 成交额16.44亿 ⚠️强赎"
10:43:51,B,超跌修复,123131,奥飞转债,270.19,-0.54%,+2.75%,25.26%,1.4,转债超跌-0.5% vs 正股+2.8% 偏离3.3% 修复空间大
10:44:52,B,正股大跌转债抗跌,113681,镇洋转债,131.34,+0.62%,-3.05%,5.21%,1.3,正股大跌-3.0% 转债仅0.6% 抗跌
10:46:28,B,股价大涨转债滞涨,123183,海顺转债,139.24,+0.94%,+3.62%,17.77%,0.6,正股大涨+3.6% 转债仅+0.9% 偏离2.7%
10:46:47,B,超跌修复,127055,精装转债,237.30,-7.30%,-2.57%,20.57%,6.6,转债超跌-7.3% vs 正股-2.6% 偏离4.7% 修复空间大
10:46:47,B,正股大跌转债抗跌,128127,文科转债,114.22,-0.27%,-5.11%,14.80%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:46:47,B,超跌修复,113615,金诚转债,749.00,-2.56%,+0.00%,20.12%,0.2,转债超跌-2.6% vs 正股+0.0% 偏离2.6% 修复空间大
10:46:47,B,超跌修复,127092,运机转债,277.79,-2.01%,+0.37%,20.45%,0.2,转债超跌-2.0% vs 正股+0.4% 偏离2.4% 修复空间大
10:47:19,B,放量拉升,111001,山玻转债,204.28,+3.01%,-3.72%,1.37%,0.0,"放量2.6x (均量384手/轮, 峰值1007手) 成交额17.00亿 ⚠️强赎"
10:48:52,B,超跌修复,123131,奥飞转债,266.70,-1.82%,+1.47%,25.20%,1.4,转债超跌-1.8% vs 正股+1.5% 偏离3.3% 修复空间大
10:49:52,B,正股大跌转债抗跌,113681,镇洋转债,131.38,+0.65%,-3.40%,5.63%,1.7,正股大跌-3.4% 转债仅0.7% 抗跌
10:51:30,B,超跌修复,127088,赫达转债,187.40,-2.90%,-0.84%,33.65%,0.0,转债超跌-2.9% vs 正股-0.8% 偏离2.1% 修复空间大
10:51:49,B,正股大跌转债抗跌,128127,文科转债,114.23,-0.26%,-5.11%,14.81%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:51:49,B,超跌修复,127092,运机转债,276.90,-2.32%,+0.29%,20.16%,0.3,转债超跌-2.3% vs 正股+0.3% 偏离2.6% 修复空间大
10:51:49,B,超跌修复,113615,金诚转债,744.47,-3.15%,-0.57%,20.09%,0.3,转债超跌-3.1% vs 正股-0.6% 偏离2.6% 修复空间大
10:51:49,B,股价大涨转债滞涨,123183,海顺转债,138.99,+0.76%,+3.01%,18.25%,0.3,正股大涨+3.0% 转债仅+0.8% 偏离2.2%
10:52:33,B,放量拉升,111001,山玻转债,201.83,+1.78%,-5.56%,2.10%,0.4,"放量3.7x (均量375手/轮, 峰值1382手) 成交额17.56亿 ⚠️强赎"
10:53:43,B,超跌修复,113658,密卫转债,141.53,-0.60%,+1.44%,26.60%,0.0,转债超跌-0.6% vs 正股+1.4% 偏离2.0% 修复空间大
10:53:53,B,超跌修复,123131,奥飞转债,265.81,-2.15%,+1.85%,24.32%,3.5,转债超跌-2.1% vs 正股+1.9% 偏离4.0% 修复空间大
10:54:08,B,超跌修复,127055,精装转债,237.71,-7.14%,-2.78%,21.05%,5.0,转债超跌-7.1% vs 正股-2.8% 偏离4.4% 修复空间大
10:54:51,B,股价大涨转债滞涨,113667,春23转债,315.14,+0.72%,+3.03%,18.19%,0.4,正股大涨+3.0% 转债仅+0.7% 偏离2.3%
10:54:56,B,正股大跌转债抗跌,113681,镇洋转债,131.21,+0.52%,-3.05%,5.10%,1.2,正股大跌-3.0% 转债仅0.5% 抗跌
10:56:31,B,超跌修复,127088,赫达转债,186.47,-3.38%,-1.22%,33.50%,0.0,转债超跌-3.4% vs 正股-1.2% 偏离2.2% 修复空间大
10:57:07,B,超跌修复,127055,精装转债,237.28,-7.31%,-2.78%,20.83%,5.7,转债超跌-7.3% vs 正股-2.8% 偏离4.5% 修复空间大
10:57:07,B,超跌修复,123131,奥飞转债,265.64,-2.21%,+1.66%,24.47%,3.1,转债超跌-2.2% vs 正股+1.7% 偏离3.9% 修复空间大
10:57:07,B,正股大跌转债抗跌,128127,文科转债,114.20,-0.28%,-5.35%,15.08%,3.0,正股大跌-5.3% 转债仅-0.3% 抗跌
10:57:07,B,超跌修复,127092,运机转债,275.00,-2.99%,+0.18%,19.46%,1.2,转债超跌-3.0% vs 正股+0.2% 偏离3.2% 修复空间大
10:57:07,B,超跌修复,127088,赫达转债,186.07,-3.59%,-1.10%,33.04%,0.2,转债超跌-3.6% vs 正股-1.1% 偏离2.5% 修复空间大
10:57:07,B,超跌修复,113615,金诚转债,743.10,-3.33%,-0.79%,20.13%,0.2,转债超跌-3.3% vs 正股-0.8% 偏离2.5% 修复空间大
10:58:53,B,放量拉升,111001,山玻转债,203.08,+2.41%,-4.32%,1.40%,0.0,"放量2.5x (均量329手/轮, 峰值833手) 成交额18.08亿 ⚠️强赎"
11:02:11,B,超跌修复,127055,精装转债,237.00,-7.42%,-2.62%,20.49%,7.0,转债超跌-7.4% vs 正股-2.6% 偏离4.8% 修复空间大
11:02:11,B,超跌修复,123131,奥飞转债,265.95,-2.10%,+1.99%,24.21%,3.9,转债超跌-2.1% vs 正股+2.0% 偏离4.1% 修复空间大
11:02:11,B,正股大跌转债抗跌,128127,文科转债,114.20,-0.28%,-5.35%,15.08%,3.0,正股大跌-5.3% 转债仅-0.3% 抗跌
11:02:11,B,超跌修复,127092,运机转债,274.90,-3.03%,+0.11%,19.51%,1.1,转债超跌-3.0% vs 正股+0.1% 偏离3.1% 修复空间大
11:02:11,B,超跌修复,113615,金诚转债,743.87,-3.23%,-0.79%,20.25%,0.2,转债超跌-3.2% vs 正股-0.8% 偏离2.4% 修复空间大
11:02:11,B,超跌修复,127088,赫达转债,187.17,-3.02%,-0.93%,33.60%,0.0,转债超跌-3.0% vs 正股-0.9% 偏离2.1% 修复空间大
11:02:47,B,超跌修复,127055,精装转债,237.17,-7.36%,-2.65%,20.61%,6.6,转债超跌-7.4% vs 正股-2.6% 偏离4.7% 修复空间大
11:02:47,B,超跌修复,123131,奥飞转债,266.06,-2.06%,+2.32%,23.86%,5.0,转债超跌-2.1% vs 正股+2.3% 偏离4.4% 修复空间大
11:02:47,B,超跌修复,118060,瑞可转债,255.56,-0.90%,+2.76%,34.56%,2.5,转债超跌-0.9% vs 正股+2.8% 偏离3.7% 修复空间大
11:02:47,B,正股大跌转债抗跌,128127,文科转债,114.18,-0.30%,-5.35%,15.06%,2.9,正股大跌-5.3% 转债仅-0.3% 抗跌
11:02:47,B,超跌修复,127092,运机转债,274.84,-3.05%,+0.07%,19.53%,1.1,转债超跌-3.0% vs 正股+0.1% 偏离3.1% 修复空间大
11:02:54,B,超跌修复,113658,密卫转债,142.01,-0.26%,+1.86%,26.52%,0.0,转债超跌-0.3% vs 正股+1.9% 偏离2.1% 修复空间大
11:03:04,B,超跌修复,127088,赫达转债,187.89,-2.65%,-0.59%,33.66%,0.0,转债超跌-2.6% vs 正股-0.6% 偏离2.1% 修复空间大
11:03:10,B,超跌修复,118056,路维转债,325.02,-2.94%,-0.47%,30.03%,0.2,转债超跌-2.9% vs 正股-0.5% 偏离2.5% 修复空间大
11:03:25,B,放量拉升,111001,山玻转债,203.29,+2.51%,-3.80%,0.97%,0.0,"放量2.7x (均量435手/轮, 峰值1187手) 成交额18.42亿 ⚠️强赎"
11:04:46,B,超跌修复,123225,翔丰转债,154.59,-0.22%,+1.78%,21.24%,0.0,转债超跌-0.2% vs 正股+1.8% 偏离2.0% 修复空间大
11:05:00,B,超跌修复,127078,优彩转债,138.01,-4.16%,-2.13%,26.21%,0.0,转债超跌-4.2% vs 正股-2.1% 偏离2.0% 修复空间大
11:06:30,B,正股大跌转债抗跌,113681,镇洋转债,131.09,+0.43%,-3.05%,5.01%,1.1,正股大跌-3.0% 转债仅0.4% 抗跌
11:07:48,B,超跌修复,127055,精装转债,237.62,-7.18%,-2.25%,20.34%,7.6,转债超跌-7.2% vs 正股-2.2% 偏离4.9% 修复空间大
11:07:48,B,超跌修复,123131,奥飞转债,265.23,-2.36%,+1.94%,23.93%,4.7,转债超跌-2.4% vs 正股+1.9% 偏离4.3% 修复空间大
11:07:48,B,正股大跌转债抗跌,128127,文科转债,114.21,-0.28%,-5.35%,15.09%,3.0,正股大跌-5.3% 转债仅-0.3% 抗跌
11:07:48,B,超跌修复,118060,瑞可转债,254.56,-1.29%,+2.13%,34.86%,1.8,转债超跌-1.3% vs 正股+2.1% 偏离3.4% 修复空间大
11:07:48,B,超跌修复,127092,运机转债,274.97,-3.01%,+0.04%,19.63%,1.0,转债超跌-3.0% vs 正股+0.0% 偏离3.0% 修复空间大
11:07:48,B,超跌修复,113615,金诚转债,743.49,-3.27%,-0.86%,20.27%,0.2,转债超跌-3.3% vs 正股-0.9% 偏离2.4% 修复空间大
11:08:08,B,超跌修复,127088,赫达转债,186.94,-3.14%,-0.55%,32.93%,0.3,转债超跌-3.1% vs 正股-0.6% 偏离2.6% 修复空间大
11:08:28,B,正股大跌转债抗跌,118051,皓元转债,255.67,-0.96%,-3.09%,23.62%,0.2,正股大跌-3.1% 转债仅-1.0% 抗跌
11:08:43,B,超跌修复,123183,海顺转债,137.88,-0.05%,+2.19%,18.26%,0.1,转债超跌-0.1% vs 正股+2.2% 偏离2.2% 修复空间大
11:09:27,B,放量拉升,111001,山玻转债,201.99,+1.86%,-5.00%,1.58%,0.4,"放量3.7x (均量142手/轮, 峰值526手) 成交额18.78亿 ⚠️强赎"
11:11:37,B,股价大涨转债滞涨,123225,翔丰转债,156.04,+0.72%,+3.01%,20.92%,0.3,正股大涨+3.0% 转债仅+0.7% 偏离2.3%
11:12:14,B,超跌修复,127078,优彩转债,138.62,-3.73%,-1.70%,26.22%,0.0,转债超跌-3.7% vs 正股-1.7% 偏离2.0% 修复空间大
11:12:32,B,超跌修复,118056,路维转债,319.93,-4.46%,-2.27%,30.34%,0.0,转债超跌-4.5% vs 正股-2.3% 偏离2.2% 修复空间大
11:12:51,B,超跌修复,127055,精装转债,237.40,-7.27%,-2.30%,20.29%,7.8,转债超跌-7.3% vs 正股-2.3% 偏离5.0% 修复空间大
11:12:51,B,超跌修复,118060,瑞可转债,253.79,-1.59%,+2.83%,33.53%,5.2,转债超跌-1.6% vs 正股+2.8% 偏离4.4% 修复空间大
11:12:51,B,超跌修复,123131,奥飞转债,264.75,-2.54%,+1.66%,24.05%,4.3,转债超跌-2.5% vs 正股+1.7% 偏离4.2% 修复空间大
11:12:51,B,正股大跌转债抗跌,128127,文科转债,114.18,-0.30%,-5.35%,15.06%,2.9,正股大跌-5.3% 转债仅-0.3% 抗跌
11:12:51,B,超跌修复,127092,运机转债,275.15,-2.94%,-0.22%,20.01%,0.5,转债超跌-2.9% vs 正股-0.2% 偏离2.7% 修复空间大
11:12:51,B,超跌修复,113615,金诚转债,748.43,-2.63%,+0.00%,20.03%,0.3,转债超跌-2.6% vs 正股+0.0% 偏离2.6% 修复空间大
11:13:10,B,超跌修复,127088,赫达转债,187.87,-2.66%,-0.21%,33.14%,0.2,转债超跌-2.7% vs 正股-0.2% 偏离2.5% 修复空间大
11:13:33,B,正股大跌转债抗跌,118051,皓元转债,255.68,-0.95%,-3.02%,23.53%,0.2,正股大跌-3.0% 转债仅-0.9% 抗跌
11:14:23,B,正股大跌转债抗跌,113681,镇洋转债,130.96,+0.33%,-3.05%,4.90%,1.0,正股大跌-3.0% 转债仅0.3% 抗跌
11:15:18,B,放量拉升,111001,山玻转债,202.35,+2.04%,-4.91%,1.68%,0.2,"放量3.3x (均量154手/轮, 峰值508手) 成交额19.03亿 ⚠️强赎"
11:15:41,B,股价大涨转债滞涨,123183,海顺转债,138.52,+0.42%,+3.09%,17.76%,0.6,正股大涨+3.1% 转债仅+0.4% 偏离2.7%
11:15:41,B,超跌修复,113658,密卫转债,141.83,-0.39%,+1.63%,26.65%,0.0,转债超跌-0.4% vs 正股+1.6% 偏离2.0% 修复空间大
11:16:40,B,股价大涨转债滞涨,123225,翔丰转债,156.45,+0.99%,+3.18%,21.03%,0.3,正股大涨+3.2% 转债仅+1.0% 偏离2.2%
11:17:26,B,超跌修复,127078,优彩转债,139.11,-3.40%,-1.28%,26.12%,0.0,转债超跌-3.4% vs 正股-1.3% 偏离2.1% 修复空间大
11:17:54,B,超跌修复,127055,精装转债,237.59,-7.19%,-2.27%,20.36%,7.6,转债超跌-7.2% vs 正股-2.3% 偏离4.9% 修复空间大
11:17:54,B,超跌修复,123131,奥飞转债,264.66,-2.57%,+1.89%,23.72%,5.4,转债超跌-2.6% vs 正股+1.9% 偏离4.5% 修复空间大
11:17:54,B,超跌修复,118060,瑞可转债,253.65,-1.64%,+2.63%,33.71%,4.6,转债超跌-1.6% vs 正股+2.6% 偏离4.3% 修复空间大
11:17:54,B,正股大跌转债抗跌,128127,文科转债,114.20,-0.29%,-5.11%,14.78%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
11:17:54,B,超跌修复,113615,金诚转债,750.86,-2.32%,+0.69%,19.59%,0.9,转债超跌-2.3% vs 正股+0.7% 偏离3.0% 修复空间大
11:17:58,B,超跌修复,118056,路维转债,322.56,-3.68%,-1.65%,30.59%,0.0,转债超跌-3.7% vs 正股-1.6% 偏离2.0% 修复空间大
11:18:07,B,超跌修复,127092,运机转债,276.90,-2.32%,-0.18%,20.73%,0.0,转债超跌-2.3% vs 正股-0.2% 偏离2.1% 修复空间大
11:18:12,B,超跌修复,127088,赫达转债,187.76,-2.71%,-0.13%,32.94%,0.3,转债超跌-2.7% vs 正股-0.1% 偏离2.6% 修复空间大
11:22:26,B,超跌修复,127078,优彩转债,138.94,-3.51%,-1.42%,26.15%,0.0,转债超跌-3.5% vs 正股-1.4% 偏离2.1% 修复空间大
11:22:54,B,超跌修复,127055,精装转债,238.82,-6.71%,-1.47%,19.99%,9.4,转债超跌-6.7% vs 正股-1.5% 偏离5.2% 修复空间大
11:22:54,B,超跌修复,123131,奥飞转债,264.20,-2.74%,+1.75%,23.68%,5.5,转债超跌-2.7% vs 正股+1.8% 偏离4.5% 修复空间大
11:22:54,B,超跌修复,118060,瑞可转债,252.75,-1.99%,+1.86%,34.25%,3.0,转债超跌-2.0% vs 正股+1.9% 偏离3.9% 修复空间大
11:22:54,B,正股大跌转债抗跌,128127,文科转债,114.19,-0.29%,-5.35%,15.07%,2.9,正股大跌-5.3% 转债仅-0.3% 抗跌
11:22:54,B,超跌修复,113615,金诚转债,752.49,-2.10%,+0.15%,20.50%,0.1,转债超跌-2.1% vs 正股+0.1% 偏离2.2% 修复空间大
11:23:08,B,超跌修复,127092,运机转债,277.20,-2.22%,+0.04%,20.60%,0.1,转债超跌-2.2% vs 正股+0.0% 偏离2.3% 修复空间大
11:23:12,B,超跌修复,127088,赫达转债,188.31,-2.43%,-0.25%,33.51%,0.0,转债超跌-2.4% vs 正股-0.2% 偏离2.2% 修复空间大
11:23:17,B,超跌修复,118056,路维转债,320.89,-4.18%,-2.17%,30.61%,0.0,转债超跌-4.2% vs 正股-2.2% 偏离2.0% 修复空间大
11:27:13,B,正股大跌转债抗跌,113597,佳力转债,119.33,-0.97%,-3.11%,23.16%,0.2,正股大跌-3.1% 转债仅-1.0% 抗跌
11:27:59,B,超跌修复,127055,精装转债,241.07,-5.83%,+0.37%,18.89%,15.7,转债超跌-5.8% vs 正股+0.4% 偏离6.2% 修复空间大
11:27:59,B,超跌修复,123131,奥飞转债,266.40,-1.93%,+2.18%,24.19%,3.9,转债超跌-1.9% vs 正股+2.2% 偏离4.1% 修复空间大
11:27:59,B,超跌修复,118060,瑞可转债,253.96,-1.52%,+2.29%,34.32%,2.9,转债超跌-1.5% vs 正股+2.3% 偏离3.8% 修复空间大
11:27:59,B,正股大跌转债抗跌,128127,文科转债,114.21,-0.27%,-5.35%,15.09%,3.0,正股大跌-5.3% 转债仅-0.3% 抗跌
11:27:59,B,超跌修复,113615,金诚转债,755.26,-1.74%,+0.88%,20.07%,0.3,转债超跌-1.7% vs 正股+0.9% 偏离2.6% 修复空间大
11:28:08,B,超跌修复,127092,运机转债,278.65,-1.71%,+0.37%,20.83%,0.0,转债超跌-1.7% vs 正股+0.4% 偏离2.1% 修复空间大
