时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
14:14:31,B,放量拉升,118018,瑞科转债,293.00,+0.75%,+0.91%,-0.85%,0.4,"放量3.6x (均量174手/轮, 峰值634手) 成交额6.10亿 ⚠️强赎"
14:16:11,B,超跌修复,118050,航宇转债,293.82,-4.20%,-1.26%,26.05%,0.5,转债超跌-4.2% vs 正股-1.3% 偏离2.9% 修复空间大
14:16:48,B,超跌修复,127055,精装转债,248.25,-3.03%,+2.86%,19.48%,8.4,转债超跌-3.0% vs 正股+2.9% 偏离5.9% 修复空间大
14:16:48,B,正股大跌转债抗跌,128127,文科转债,114.43,-0.08%,-4.62%,14.43%,2.6,正股大跌-4.6% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.7%)
14:16:48,B,超跌修复,118060,瑞可转债,251.93,-2.31%,+0.87%,35.12%,0.8,转债超跌-2.3% vs 正股+0.9% 偏离3.2% 修复空间大
14:16:48,B,股价大涨转债滞涨,123131,奥飞转债,272.90,+0.46%,+3.55%,25.53%,1.1,正股大涨+3.5% 转债仅+0.5% 偏离3.1% 🔗板块 绿色电力/东数西算(算力)(均涨+2.9%)
14:16:48,B,股价大涨转债滞涨,113615,金诚转债,775.91,+0.94%,+3.19%,20.60%,0.3,正股大涨+3.2% 转债仅+0.9% 偏离2.2%
14:16:52,B,放量拉升,111001,山玻转债,202.48,+2.10%,-4.32%,1.10%,0.2,"放量3.4x (均量167手/轮, 峰值578手) 成交额23.94亿 ⚠️强赎"
14:17:20,B,股价大涨转债滞涨,127078,优彩转债,144.00,+0.00%,+3.40%,24.64%,1.2,正股大涨+3.4% 转债仅+0.0% 偏离3.4%
14:17:43,B,正股大跌转债抗跌,110084,贵燃转债,129.50,-0.46%,-3.17%,20.35%,0.6,正股大跌-3.2% 转债仅-0.5% 抗跌 🔗板块 地下管网/氢能源(均涨+4.5%)
14:19:33,B,放量拉升,118018,瑞科转债,296.09,+1.81%,+1.76%,-0.64%,0.0,"放量2.7x (均量214手/轮, 峰值580手) 成交额6.50亿 ⚠️强赎"
14:21:13,B,超跌修复,118050,航宇转债,293.99,-4.14%,-1.27%,26.15%,0.4,转债超跌-4.1% vs 正股-1.3% 偏离2.9% 修复空间大
14:21:27,B,股价大涨转债滞涨,113646,永吉转债,156.82,+0.99%,+3.21%,30.95%,0.3,正股大涨+3.2% 转债仅+1.0% 偏离2.2%
14:21:51,B,超跌修复,127055,精装转债,247.27,-3.41%,+2.57%,19.34%,8.8,转债超跌-3.4% vs 正股+2.6% 偏离6.0% 修复空间大
14:21:51,B,正股大跌转债抗跌,128127,文科转债,114.43,-0.08%,-4.87%,14.72%,3.1,正股大跌-4.9% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.6%)
